account_id,phone,preferences,internal_notes,created_at,updated_at
81,0579052653,Ưu tiên kỹ thuật viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-06-01 08:32:00,2026-07-13 08:32:00
82,0822702919,Ưu tiên phòng yên tĩnh,Đã từng phản hồi về nhiệt độ phòng,2026-06-24 12:57:00,2026-09-05 12:57:00
83,0589777304,Da nhạy cảm,Khách hàng thân thiết,2025-08-12 11:31:00,2025-08-22 11:31:00
84,0590756631,Thích phòng có ánh sáng dịu,Đã từng phản hồi về nhiệt độ phòng,2026-01-14 13:56:00,2026-03-24 13:56:00
85,0577212733,Massage lực vừa,Cần xác nhận trước khi thay đổi lịch,2026-03-14 11:22:00,2026-04-30 11:22:00
86,0990539617,Ưu tiên kỹ thuật viên nữ,Thường đến sớm 15 phút,2026-02-19 10:43:00,2026-02-26 10:43:00
87,0948523595,Thích phòng có ánh sáng dịu,\N,2025-12-02 07:35:00,2026-02-13 07:35:00
88,0599568539,Da nhạy cảm,Cần xác nhận trước khi thay đổi lịch,2025-11-08 08:51:00,2025-12-21 08:51:00
89,0856037577,Thường đặt lịch cuối tuần,Thường đến sớm 15 phút,2025-08-01 12:15:00,2025-08-17 12:15:00
90,0821529706,Không sử dụng tinh dầu mùi mạnh,\N,2025-10-08 10:22:00,2025-10-17 10:22:00
91,0554863979,Thích phòng có ánh sáng dịu,Cần xác nhận trước khi thay đổi lịch,2026-04-01 11:13:00,2026-04-08 11:13:00
92,0729825173,Thích phòng có ánh sáng dịu,\N,2026-04-05 12:27:00,2026-05-16 12:27:00
93,0987585557,Ưu tiên phòng yên tĩnh,\N,2025-09-26 07:08:00,2025-12-21 07:08:00
94,0736479879,Da nhạy cảm,Thường đến sớm 15 phút,2025-08-21 11:36:00,2025-10-20 11:36:00
95,0737333925,Ưu tiên kỹ thuật viên nữ,\N,2026-05-30 07:20:00,2026-07-12 07:20:00
96,0572524349,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2025-12-25 12:17:00,2026-02-15 12:17:00
97,0838870715,Thường đặt lịch cuối tuần,\N,2026-03-08 09:49:00,2026-05-06 09:49:00
98,0893242471,Thường đặt lịch cuối tuần,\N,2025-11-22 10:55:00,2026-01-18 10:55:00
99,0566531259,Ưu tiên kỹ thuật viên nữ,Thường đến sớm 15 phút,2026-03-11 09:15:00,2026-03-19 09:15:00
100,0835421220,Không sử dụng tinh dầu mùi mạnh,Đã từng phản hồi về nhiệt độ phòng,2025-12-14 07:50:00,2026-02-27 07:50:00
101,0712325811,Ưu tiên kỹ thuật viên nữ,Cần xác nhận trước khi thay đổi lịch,2025-12-15 10:17:00,2025-12-28 10:17:00
102,0551035105,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-07-20 13:21:00,2026-09-15 15:00:00
103,0598827465,Thích phòng có ánh sáng dịu,\N,2026-03-10 13:16:00,2026-03-23 13:16:00
104,0829914292,Không sử dụng tinh dầu mùi mạnh,Thường đến sớm 15 phút,2026-06-16 11:18:00,2026-08-12 11:18:00
105,0791509983,Ưu tiên kỹ thuật viên nữ,\N,2025-08-10 14:20:00,2025-08-14 14:20:00
106,0847129673,Massage lực vừa,Đã từng phản hồi về nhiệt độ phòng,2025-10-13 09:44:00,2025-11-18 09:44:00
107,0598255676,Ưu tiên phòng yên tĩnh,\N,2025-08-29 08:13:00,2025-09-10 08:13:00
108,0949518969,Da nhạy cảm,\N,2026-02-26 13:24:00,2026-04-10 13:24:00
109,0775207180,\N,\N,2025-09-14 06:48:00,2025-09-19 06:48:00
110,0743188723,Massage lực vừa,\N,2026-03-30 13:25:00,2026-05-30 13:25:00
111,0873663298,\N,Đã từng phản hồi về nhiệt độ phòng,2026-03-29 09:42:00,2026-06-25 09:42:00
112,0723073895,Ưu tiên kỹ thuật viên nữ,\N,2026-02-04 10:05:00,2026-03-26 10:05:00
113,0945907423,Ưu tiên kỹ thuật viên nữ,\N,2026-03-18 12:53:00,2026-05-19 12:53:00
114,0855195874,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-05-29 13:11:00,2026-06-09 13:11:00
115,0529427623,Ưu tiên kỹ thuật viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-06-25 14:38:00,2026-09-10 14:38:00
116,0837596093,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-07-06 15:00:00,2026-07-10 15:00:00
117,0734888897,Ưu tiên kỹ thuật viên nữ,\N,2025-11-03 07:05:00,2025-11-03 07:05:00
118,0769834343,Ưu tiên kỹ thuật viên nữ,Thường đến sớm 15 phút,2025-11-21 05:44:00,2026-02-18 05:44:00
119,0799555227,Ưu tiên kỹ thuật viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-05-25 11:50:00,2026-06-27 11:50:00
120,0937847590,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-06-29 05:10:00,2026-09-05 05:10:00
121,0528469894,Ưu tiên kỹ thuật viên nữ,\N,2026-08-13 14:52:00,2026-08-27 14:52:00
122,0928357423,Massage lực vừa,\N,2025-08-18 14:42:00,2025-09-07 14:42:00
123,0541865914,\N,Đã từng phản hồi về nhiệt độ phòng,2026-02-06 11:33:00,2026-03-07 11:33:00
124,0598522532,Da nhạy cảm,Thường đến sớm 15 phút,2026-08-15 14:27:00,2026-09-15 15:00:00
125,0513364792,Massage lực vừa,Thường đến sớm 15 phút,2026-05-20 05:13:00,2026-07-15 05:13:00
126,0725100208,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2025-10-19 13:37:00,2025-10-29 13:37:00
127,0970757376,Da nhạy cảm,Đã từng phản hồi về nhiệt độ phòng,2026-07-21 08:29:00,2026-07-25 08:29:00
128,0781485450,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2025-08-27 05:52:00,2025-11-08 05:52:00
129,0547415275,Thường đặt lịch cuối tuần,\N,2026-04-07 15:00:00,2026-06-09 15:00:00
130,0725133902,Thường đặt lịch cuối tuần,\N,2026-06-18 10:50:00,2026-07-08 10:50:00
131,0540378047,\N,Đã từng phản hồi về nhiệt độ phòng,2025-10-02 14:24:00,2025-10-14 14:24:00
132,0894091783,Ưu tiên kỹ thuật viên nữ,\N,2025-12-30 14:06:00,2026-03-14 14:06:00
133,0518541068,Da nhạy cảm,\N,2025-12-02 06:17:00,2025-12-26 06:17:00
134,0513561475,Da nhạy cảm,Cần xác nhận trước khi thay đổi lịch,2026-02-19 08:12:00,2026-04-10 08:12:00
135,0823119388,Massage lực vừa,\N,2025-07-23 12:02:00,2025-09-03 12:02:00
136,0879412703,Ưu tiên kỹ thuật viên nữ,\N,2026-02-07 12:02:00,2026-02-21 12:02:00
137,0874991948,Massage lực vừa,\N,2025-10-28 05:34:00,2025-11-20 05:34:00
138,0976762617,Thích phòng có ánh sáng dịu,\N,2026-02-23 12:33:00,2026-03-13 12:33:00
139,0778632588,Không sử dụng tinh dầu mùi mạnh,\N,2026-02-27 05:28:00,2026-05-04 05:28:00
140,0980499687,Ưu tiên kỹ thuật viên nữ,\N,2026-07-21 08:06:00,2026-08-09 08:06:00
141,0784980305,Thường đặt lịch cuối tuần,\N,2025-09-15 10:17:00,2025-09-25 10:17:00
142,0744024988,Da nhạy cảm,\N,2026-01-15 07:13:00,2026-02-11 07:13:00
143,0510826726,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2026-04-30 06:47:00,2026-07-22 06:47:00
144,0814205254,Thường đặt lịch cuối tuần,Thường đến sớm 15 phút,2026-04-01 08:02:00,2026-06-14 08:02:00
145,0931643282,Thường đặt lịch cuối tuần,\N,2025-08-26 08:57:00,2025-09-12 08:57:00
146,0838287434,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2026-04-21 11:24:00,2026-06-01 11:24:00
147,0839468684,\N,Đã từng phản hồi về nhiệt độ phòng,2026-06-21 05:34:00,2026-07-31 05:34:00
148,0995057628,Thích phòng có ánh sáng dịu,\N,2025-08-11 10:34:00,2025-10-14 10:34:00
149,0985570503,Thích phòng có ánh sáng dịu,Thường đến sớm 15 phút,2026-03-19 05:16:00,2026-05-12 05:16:00
150,0966018168,Ưu tiên phòng yên tĩnh,\N,2025-08-28 14:53:00,2025-11-12 14:53:00
151,0870558327,Da nhạy cảm,Thường đến sớm 15 phút,2025-12-14 06:16:00,2026-02-19 06:16:00
152,0732598265,Không sử dụng tinh dầu mùi mạnh,\N,2026-01-03 13:30:00,2026-02-03 13:30:00
153,0812886363,\N,Cần xác nhận trước khi thay đổi lịch,2025-07-26 10:49:00,2025-10-15 10:49:00
154,0548356679,Massage lực vừa,Khách hàng thân thiết,2026-01-17 14:56:00,2026-03-17 14:56:00
155,0523266708,Massage lực vừa,Thường đến sớm 15 phút,2026-05-25 14:00:00,2026-06-23 14:00:00
156,0974235839,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2025-07-30 14:25:00,2025-09-08 14:25:00
157,0555086616,Massage lực vừa,Thường đến sớm 15 phút,2025-07-31 11:07:00,2025-10-08 11:07:00
158,0759655885,\N,Thường đến sớm 15 phút,2025-10-04 12:22:00,2025-11-30 12:22:00
159,0952871850,Thường đặt lịch cuối tuần,Thường đến sớm 15 phút,2025-09-22 14:45:00,2025-12-19 14:45:00
160,0574142981,\N,Khách hàng thân thiết,2025-09-06 09:58:00,2025-09-12 09:58:00
161,0514569192,Massage lực vừa,Khách hàng thân thiết,2026-08-01 06:57:00,2026-09-15 15:00:00
162,0847368782,\N,Khách hàng thân thiết,2025-10-05 14:04:00,2025-12-29 14:04:00
163,0533128619,Ưu tiên kỹ thuật viên nữ,\N,2026-08-09 05:15:00,2026-09-15 15:00:00
164,0510063133,Thích phòng có ánh sáng dịu,Khách hàng thân thiết,2026-03-04 08:42:00,2026-05-04 08:42:00
165,0715638864,\N,Khách hàng thân thiết,2026-05-22 06:38:00,2026-06-20 06:38:00
166,0932484583,\N,Đã từng phản hồi về nhiệt độ phòng,2025-12-10 09:37:00,2025-12-23 09:37:00
167,0751764195,Ưu tiên kỹ thuật viên nữ,\N,2026-04-02 07:45:00,2026-05-26 07:45:00
168,0741792577,\N,Cần xác nhận trước khi thay đổi lịch,2026-05-08 05:24:00,2026-05-08 05:24:00
169,0869247921,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2026-02-13 07:42:00,2026-02-17 07:42:00
170,0596197622,Ưu tiên phòng yên tĩnh,Thường đến sớm 15 phút,2025-10-12 13:47:00,2025-12-01 13:47:00
171,0529523270,Thích phòng có ánh sáng dịu,\N,2026-05-18 10:57:00,2026-06-10 10:57:00
172,0551436549,Ưu tiên kỹ thuật viên nữ,Khách hàng thân thiết,2025-09-20 08:10:00,2025-12-18 08:10:00
173,0954485301,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-01-22 11:32:00,2026-03-17 11:32:00
