user_id,address,note,created_at
71,"Long Biên, Hà Nội",Ưu tiên phòng yên tĩnh,2026-05-12 12:00:00
72,"Thanh Xuân, Hà Nội",Da nhạy cảm,2026-08-05 12:00:00
73,"Cầu Giấy, Hà Nội",Thường đặt cuối tuần,2026-08-03 12:00:00
74,"Hai Bà Trưng, Hà Nội",\N,2026-05-29 12:00:00
75,"Đống Đa, Hà Nội",Khách hàng thân thiết,2026-07-23 12:00:00
76,"Hoàng Mai, Hà Nội",Khách hàng mới,2026-04-16 12:00:00
77,"Nam Từ Liêm, Hà Nội",Ưu tiên phòng yên tĩnh,2026-08-25 12:00:00
78,"Long Biên, Hà Nội",Da nhạy cảm,2026-03-15 12:00:00
79,"Thanh Xuân, Hà Nội",Thường đặt cuối tuần,2026-03-09 12:00:00
80,"Cầu Giấy, Hà Nội",\N,2026-08-14 12:00:00
81,"Hai Bà Trưng, Hà Nội",Khách hàng thân thiết,2026-04-25 12:00:00
82,"Đống Đa, Hà Nội",Khách hàng mới,2026-05-11 12:00:00
83,"Hoàng Mai, Hà Nội",Ưu tiên phòng yên tĩnh,2026-03-18 12:00:00
84,"Nam Từ Liêm, Hà Nội",Da nhạy cảm,2026-04-26 12:00:00
85,"Long Biên, Hà Nội",Thường đặt cuối tuần,2026-03-23 12:00:00
86,"Thanh Xuân, Hà Nội",\N,2026-06-03 12:00:00
87,"Cầu Giấy, Hà Nội",Khách hàng thân thiết,2026-05-08 12:00:00
88,"Hai Bà Trưng, Hà Nội",Khách hàng mới,2026-06-22 12:00:00
89,"Đống Đa, Hà Nội",Ưu tiên phòng yên tĩnh,2026-08-07 12:00:00
90,"Hoàng Mai, Hà Nội",Da nhạy cảm,2026-05-30 12:00:00
91,"Nam Từ Liêm, Hà Nội",Thường đặt cuối tuần,2026-04-08 12:00:00
92,"Long Biên, Hà Nội",\N,2026-05-31 12:00:00
93,"Thanh Xuân, Hà Nội",Khách hàng thân thiết,2026-05-27 12:00:00
94,"Cầu Giấy, Hà Nội",Khách hàng mới,2026-04-20 12:00:00
95,"Hai Bà Trưng, Hà Nội",Ưu tiên phòng yên tĩnh,2026-08-16 12:00:00
96,"Đống Đa, Hà Nội",Da nhạy cảm,2026-05-05 12:00:00
97,"Hoàng Mai, Hà Nội",Thường đặt cuối tuần,2026-08-24 12:00:00
98,"Nam Từ Liêm, Hà Nội",\N,2026-08-19 12:00:00
99,"Long Biên, Hà Nội",Khách hàng thân thiết,2026-08-10 12:00:00
100,"Thanh Xuân, Hà Nội",Khách hàng mới,2026-03-16 12:00:00
101,"Cầu Giấy, Hà Nội",Ưu tiên phòng yên tĩnh,2026-07-31 12:00:00
102,"Hai Bà Trưng, Hà Nội",Da nhạy cảm,2026-08-07 12:00:00
103,"Đống Đa, Hà Nội",Thường đặt cuối tuần,2026-04-10 12:00:00
104,"Hoàng Mai, Hà Nội",\N,2026-07-12 12:00:00
105,"Nam Từ Liêm, Hà Nội",Khách hàng thân thiết,2026-04-29 12:00:00
106,"Long Biên, Hà Nội",Khách hàng mới,2026-04-08 12:00:00
107,"Thanh Xuân, Hà Nội",Ưu tiên phòng yên tĩnh,2026-06-24 12:00:00
108,"Cầu Giấy, Hà Nội",Da nhạy cảm,2026-06-03 12:00:00
109,"Hai Bà Trưng, Hà Nội",Thường đặt cuối tuần,2026-05-06 12:00:00
110,"Đống Đa, Hà Nội",\N,2026-08-08 12:00:00
111,"Hoàng Mai, Hà Nội",Khách hàng thân thiết,2026-08-21 12:00:00
112,"Nam Từ Liêm, Hà Nội",Khách hàng mới,2026-07-18 12:00:00
113,"Long Biên, Hà Nội",Ưu tiên phòng yên tĩnh,2026-04-23 12:00:00
114,"Thanh Xuân, Hà Nội",Da nhạy cảm,2026-08-20 12:00:00
115,"Cầu Giấy, Hà Nội",Thường đặt cuối tuần,2026-05-20 12:00:00
