id,role_id,email,password_hash,full_name,phone,gender,date_of_birth,created_by
24,1,customer009@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Vy,0980000009,MALE,1986-09-09,\N
25,1,customer010@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Dũng,0980000010,FEMALE,1987-10-10,\N
26,1,customer011@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Khang,0980000011,MALE,1988-11-11,\N
27,1,customer012@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Nhung,0980000012,FEMALE,1989-12-12,\N
28,1,customer013@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Trang,0980000013,MALE,1990-01-13,\N
29,1,customer014@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Bình,\N,FEMALE,1991-02-14,\N
30,1,customer015@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Hiếu,0980000015,MALE,1992-03-15,\N
31,1,customer016@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Nam,0980000016,FEMALE,1993-04-16,\N
32,1,customer017@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Sơn,0980000017,MALE,1994-05-17,\N
33,1,customer018@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Thư,0980000018,\N,\N,\N
34,1,customer019@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Hải,0980000019,MALE,1996-07-19,\N
35,1,customer020@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Long,0980000020,FEMALE,1997-08-20,\N
36,1,customer021@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Quân,0980000021,MALE,1998-09-21,\N
37,1,customer022@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Yến,0980000022,FEMALE,1999-10-22,\N
38,1,customer023@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Giang,0980000023,MALE,2000-11-23,\N
39,1,customer024@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Lan,0980000024,FEMALE,2001-12-24,\N
40,1,customer025@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Phong,0980000025,MALE,2002-01-25,\N
41,1,customer026@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Tuấn,0980000026,FEMALE,2003-02-26,\N
42,1,customer027@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Chi,\N,MALE,2004-03-27,\N
43,1,customer028@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Hương,0980000028,FEMALE,2005-04-01,\N
44,1,customer029@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Nga,0980000029,MALE,1978-05-02,\N
45,1,customer030@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Thảo,0980000030,FEMALE,1979-06-03,\N
46,1,customer031@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang An,0980000031,MALE,1980-07-04,\N
47,1,customer032@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Hạnh,0980000032,FEMALE,1981-08-05,\N
48,1,customer033@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Mai,0980000033,MALE,1982-09-06,\N
49,1,customer034@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Quỳnh,0980000034,FEMALE,1983-10-07,\N
50,1,customer035@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Đạt,0980000035,\N,\N,\N
51,1,customer036@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Hà,0980000036,FEMALE,1985-12-09,\N
52,1,customer037@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Linh,0980000037,MALE,1986-01-10,\N
53,1,customer038@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Phúc,0980000038,FEMALE,1987-02-11,\N
54,1,customer039@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Vy,0980000039,MALE,1988-03-12,\N
55,1,customer040@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Dũng,\N,FEMALE,1989-04-13,\N
56,1,customer041@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Khang,0980000041,MALE,1990-05-14,\N
57,1,customer042@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Nhung,0980000042,FEMALE,1991-06-15,\N
58,1,customer043@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Trang,0980000043,MALE,1992-07-16,\N
59,1,customer044@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Bình,0980000044,FEMALE,1993-08-17,\N
60,1,customer045@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Hiếu,0980000045,MALE,1994-09-18,\N
61,1,customer046@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Nam,0980000046,FEMALE,1995-10-19,\N
62,1,customer047@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Sơn,0980000047,MALE,1996-11-20,\N
63,1,customer048@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Thư,0980000048,FEMALE,1997-12-21,\N
64,1,customer049@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Hải,0980000049,MALE,1998-01-22,\N
65,1,customer050@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Long,0980000050,FEMALE,1999-02-23,\N
66,1,customer051@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Quân,0980000051,MALE,2000-03-24,\N
67,1,customer052@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Yến,0980000052,\N,\N,\N
68,1,customer053@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Giang,\N,MALE,2002-05-26,\N
69,1,customer054@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Lan,0980000054,FEMALE,2003-06-27,\N
70,1,customer055@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Phong,0980000055,MALE,2004-07-01,\N
71,1,customer056@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Tuấn,0980000056,FEMALE,2005-08-02,\N
72,1,customer057@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Chi,0980000057,MALE,1978-09-03,\N
73,1,customer058@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Hương,0980000058,FEMALE,1979-10-04,\N
74,1,customer059@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Nga,0980000059,MALE,1980-11-05,\N
75,1,customer060@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Thảo,0980000060,FEMALE,1981-12-06,\N
76,1,customer061@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn An,0980000061,MALE,1982-01-07,\N
77,1,customer062@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Hạnh,0980000062,FEMALE,1983-02-08,\N
78,1,customer063@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Mai,0980000063,MALE,1984-03-09,\N
79,1,customer064@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Quỳnh,0980000064,FEMALE,1985-04-10,\N
80,1,customer065@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Đạt,0980000065,MALE,1986-05-11,\N
81,1,customer066@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Hà,\N,FEMALE,1987-06-12,\N
82,1,customer067@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Linh,0980000067,MALE,1988-07-13,\N
83,1,customer068@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Phúc,0980000068,FEMALE,1989-08-14,\N
84,1,customer069@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Vy,0980000069,\N,\N,\N
85,1,customer070@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Dũng,0980000070,FEMALE,1991-10-16,\N
86,1,customer071@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Khang,0980000071,MALE,1992-11-17,\N
87,1,customer072@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Nhung,0980000072,FEMALE,1993-12-18,\N
88,1,customer073@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Trang,0980000073,MALE,1994-01-19,\N
89,1,customer074@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Bình,0980000074,FEMALE,1995-02-20,\N
90,1,customer075@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Hiếu,0980000075,MALE,1996-03-21,\N
91,1,customer076@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Nam,0980000076,FEMALE,1997-04-22,\N
92,1,customer077@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Sơn,0980000077,MALE,1998-05-23,\N
93,1,customer078@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Thư,0980000078,FEMALE,1999-06-24,\N
94,1,customer079@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang Hải,\N,MALE,2000-07-25,\N
95,1,customer080@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Long,0980000080,FEMALE,2001-08-26,\N
96,1,customer081@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Quân,0980000081,MALE,2002-09-27,\N
97,1,customer082@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Yến,0980000082,FEMALE,2003-10-01,\N
98,1,customer083@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Giang,0980000083,MALE,2004-11-02,\N
99,1,customer084@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Lan,0980000084,FEMALE,2005-12-03,\N
100,1,customer085@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Phong,0980000085,MALE,1978-01-04,\N
101,1,customer086@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Tuấn,0980000086,\N,\N,\N
102,1,customer087@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Chi,0980000087,MALE,1980-03-06,\N
103,1,customer088@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Hương,0980000088,FEMALE,1981-04-07,\N
104,1,customer089@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Hoàng Văn Nga,0980000089,MALE,1982-05-08,\N
105,1,customer090@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Huỳnh Hoàng Thảo,0980000090,FEMALE,1983-06-09,\N
106,1,customer091@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phan Quang An,0980000091,MALE,1984-07-10,\N
107,1,customer092@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Vũ Gia Hạnh,\N,FEMALE,1985-08-11,\N
108,1,customer093@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Võ Văn Mai,0980000093,MALE,1986-09-12,\N
109,1,customer094@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đặng Hoàng Quỳnh,0980000094,FEMALE,1987-10-13,\N
110,1,customer095@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Bùi Quang Đạt,0980000095,MALE,1988-11-14,\N
111,1,customer096@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Đỗ Gia Hà,0980000096,FEMALE,1989-12-15,\N
112,1,customer097@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Nguyễn Văn Linh,0980000097,MALE,1990-01-16,\N
113,1,customer098@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Trần Hoàng Phúc,0980000098,FEMALE,1991-02-17,\N
114,1,customer099@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Lê Quang Vy,0980000099,MALE,1992-03-18,\N
115,1,customer100@example.com,$2a$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,Phạm Gia Dũng,0980000100,FEMALE,1993-04-19,\N
