account_id,phone,preferences,internal_notes,created_at,updated_at
54,0910003698,\N,\N,2026-01-31 16:00:00,2026-09-09 15:00:00
55,0910003699,Ưu tiên chuyên viên nữ,Đã từng phản hồi da nhạy cảm,2026-03-12 13:00:00,2026-08-27 15:00:00
56,0910003700,\N,Cần xác nhận trước khi thay đổi lịch,2026-04-11 14:00:00,2026-09-15 15:00:00
57,0910003701,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-06-07 10:00:00,2026-08-16 15:00:00
58,0910003702,Ưu tiên chuyên viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-06-22 14:00:00,2026-09-14 15:00:00
59,0910003703,\N,Khách hàng thân thiết,2026-05-28 11:00:00,2026-08-24 15:00:00
60,0910003704,Ưu tiên chuyên viên nữ,Khách hàng thân thiết,2026-03-19 14:00:00,2026-08-17 15:00:00
61,0910003705,\N,Khách hàng thân thiết,2026-01-11 15:00:00,2026-08-26 15:00:00
62,0910003706,Da nhạy cảm,\N,2026-04-02 14:00:00,2026-09-01 15:00:00
63,0910003707,\N,Khách hàng thân thiết,2026-08-10 17:00:00,2026-09-05 15:00:00
64,0910003708,\N,Cần xác nhận trước khi thay đổi lịch,2026-02-18 09:00:00,2026-08-30 15:00:00
65,0910003709,Ưu tiên phòng yên tĩnh,\N,2026-07-04 09:00:00,2026-08-31 15:00:00
66,0910003710,Massage lực vừa,\N,2026-03-01 10:00:00,2026-09-09 15:00:00
67,0910003711,Ưu tiên phòng yên tĩnh,Cần xác nhận trước khi thay đổi lịch,2026-05-02 11:00:00,2026-08-22 15:00:00
68,0910003712,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-04-12 10:00:00,2026-09-01 15:00:00
69,0910003713,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-06-04 16:00:00,2026-08-22 15:00:00
70,0910003714,Không sử dụng tinh dầu mùi mạnh,\N,2026-04-15 13:00:00,2026-08-25 15:00:00
71,0910003715,Ưu tiên chuyên viên nữ,\N,2026-06-22 14:00:00,2026-08-26 15:00:00
72,0910003716,Ưu tiên chuyên viên nữ,Khách hàng thân thiết,2026-06-18 14:00:00,2026-08-16 15:00:00
73,0910003717,Ưu tiên phòng yên tĩnh,\N,2026-02-09 14:00:00,2026-09-15 15:00:00
74,0910003718,Thường đặt lịch cuối tuần,\N,2026-04-01 13:00:00,2026-09-07 15:00:00
75,0910003719,\N,\N,2026-06-29 16:00:00,2026-09-09 15:00:00
76,0910003720,Thường đặt lịch cuối tuần,\N,2026-03-04 10:00:00,2026-08-25 15:00:00
77,0910003721,Không sử dụng tinh dầu mùi mạnh,\N,2026-05-25 17:00:00,2026-08-24 15:00:00
78,0910003722,Ưu tiên chuyên viên nữ,\N,2026-01-08 17:00:00,2026-09-04 15:00:00
79,0910003723,Thường đặt lịch cuối tuần,\N,2026-02-22 12:00:00,2026-09-06 15:00:00
80,0910003724,Massage lực nhẹ,\N,2026-02-09 10:00:00,2026-09-03 15:00:00
81,0910003725,Ưu tiên chuyên viên nữ,Khách hàng thân thiết,2026-03-26 11:00:00,2026-09-05 15:00:00
82,0910003726,Không sử dụng tinh dầu mùi mạnh,Cần xác nhận trước khi thay đổi lịch,2026-04-29 10:00:00,2026-08-30 15:00:00
83,0910003727,\N,\N,2026-07-19 14:00:00,2026-08-27 15:00:00
84,0910003728,\N,\N,2026-05-05 15:00:00,2026-08-29 15:00:00
85,0910003729,Không sử dụng tinh dầu mùi mạnh,\N,2026-03-05 11:00:00,2026-09-05 15:00:00
86,0910003730,Massage lực vừa,\N,2026-02-10 13:00:00,2026-09-11 15:00:00
87,0910003731,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-07-25 14:00:00,2026-08-27 15:00:00
88,0910003732,Massage lực vừa,Cần xác nhận trước khi thay đổi lịch,2026-06-20 11:00:00,2026-08-29 15:00:00
89,0910003733,Massage lực nhẹ,\N,2026-01-05 17:00:00,2026-08-19 15:00:00
90,0910003734,\N,Cần xác nhận trước khi thay đổi lịch,2026-01-14 16:00:00,2026-09-05 15:00:00
91,0910003735,\N,Khách hàng thân thiết,2026-05-27 15:00:00,2026-08-24 15:00:00
92,0910003736,\N,\N,2026-01-14 10:00:00,2026-08-29 15:00:00
93,0910003737,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-05-28 13:00:00,2026-08-17 15:00:00
94,0910003738,Massage lực nhẹ,\N,2026-01-08 10:00:00,2026-09-05 15:00:00
95,0910003739,Massage lực vừa,\N,2026-04-24 14:00:00,2026-09-12 15:00:00
96,0910003740,Ưu tiên phòng yên tĩnh,\N,2026-07-13 15:00:00,2026-09-12 15:00:00
97,0910003741,\N,Cần xác nhận trước khi thay đổi lịch,2026-05-29 15:00:00,2026-09-03 15:00:00
98,0910003742,Massage lực vừa,Đã từng phản hồi da nhạy cảm,2026-05-08 10:00:00,2026-08-21 15:00:00
99,0910003743,Ưu tiên phòng yên tĩnh,Cần xác nhận trước khi thay đổi lịch,2026-05-17 17:00:00,2026-08-21 15:00:00
100,0910003744,Da nhạy cảm,\N,2026-01-21 15:00:00,2026-08-16 15:00:00
101,0910003745,Ưu tiên chuyên viên nữ,\N,2026-02-01 11:00:00,2026-09-08 15:00:00
102,0910003746,Massage lực vừa,\N,2026-02-25 14:00:00,2026-08-16 15:00:00
103,0910003747,\N,\N,2026-04-07 15:00:00,2026-09-03 15:00:00
104,0910003748,Massage lực vừa,Đã từng phản hồi da nhạy cảm,2026-04-09 12:00:00,2026-08-28 15:00:00
105,0910003749,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-07-10 12:00:00,2026-09-09 15:00:00
106,0910003750,Không sử dụng tinh dầu mùi mạnh,\N,2026-02-22 16:00:00,2026-09-14 15:00:00
107,0910003751,Da nhạy cảm,\N,2026-03-13 15:00:00,2026-09-05 15:00:00
108,0910003752,Ưu tiên chuyên viên nữ,\N,2026-04-05 15:00:00,2026-09-14 15:00:00
109,0910003753,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-04-01 09:00:00,2026-08-20 15:00:00
110,0910003754,Massage lực nhẹ,\N,2026-03-14 13:00:00,2026-09-08 15:00:00
111,0910003755,Thường đặt lịch cuối tuần,\N,2026-06-25 17:00:00,2026-08-29 15:00:00
112,0910003756,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-02-14 09:00:00,2026-09-08 15:00:00
113,0910003757,Ưu tiên chuyên viên nữ,\N,2026-02-21 17:00:00,2026-09-14 15:00:00
114,0910003758,Ưu tiên chuyên viên nữ,Khách hàng thân thiết,2026-06-09 16:00:00,2026-08-21 15:00:00
115,0910003759,\N,\N,2026-01-23 12:00:00,2026-08-21 15:00:00
116,0910003760,Massage lực nhẹ,Khách hàng thân thiết,2026-03-22 15:00:00,2026-08-17 15:00:00
117,0910003761,\N,\N,2026-02-04 10:00:00,2026-09-15 15:00:00
118,0910003762,Massage lực vừa,\N,2026-03-31 15:00:00,2026-09-07 15:00:00
119,0910003763,\N,\N,2026-07-12 14:00:00,2026-09-11 15:00:00
120,0910003764,Da nhạy cảm,\N,2026-05-27 14:00:00,2026-09-03 15:00:00
121,0910003765,Da nhạy cảm,\N,2026-08-07 13:00:00,2026-08-17 15:00:00
122,0910003766,Không sử dụng tinh dầu mùi mạnh,\N,2026-06-14 10:00:00,2026-09-03 15:00:00
123,0910003767,\N,Khách hàng thân thiết,2026-05-21 16:00:00,2026-09-05 15:00:00
124,0910003768,Ưu tiên phòng yên tĩnh,Khách hàng thân thiết,2026-08-08 09:00:00,2026-08-24 15:00:00
125,0910003769,Ưu tiên chuyên viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-03-14 11:00:00,2026-09-05 15:00:00
126,0910003770,Thường đặt lịch cuối tuần,Đã từng phản hồi da nhạy cảm,2026-02-02 09:00:00,2026-09-05 15:00:00
127,0910003771,Ưu tiên phòng yên tĩnh,\N,2026-01-25 10:00:00,2026-09-05 15:00:00
128,0910003772,\N,\N,2026-03-15 13:00:00,2026-08-25 15:00:00
129,0910003773,Massage lực vừa,Cần xác nhận trước khi thay đổi lịch,2026-04-09 13:00:00,2026-08-31 15:00:00
130,0910003774,Massage lực vừa,Cần xác nhận trước khi thay đổi lịch,2026-08-02 11:00:00,2026-09-10 15:00:00
131,0910003775,Ưu tiên chuyên viên nữ,\N,2026-07-15 10:00:00,2026-08-28 15:00:00
132,0910003776,Ưu tiên phòng yên tĩnh,Đã từng phản hồi da nhạy cảm,2026-07-01 12:00:00,2026-08-20 15:00:00
133,0910003777,Massage lực vừa,Đã từng phản hồi da nhạy cảm,2026-02-12 14:00:00,2026-09-11 15:00:00
134,0910003778,Massage lực vừa,Đã từng phản hồi da nhạy cảm,2026-01-24 09:00:00,2026-08-19 15:00:00
135,0910003779,Massage lực vừa,\N,2026-01-18 11:00:00,2026-09-02 15:00:00
136,0910003780,Massage lực vừa,\N,2026-05-04 17:00:00,2026-08-29 15:00:00
137,0910003781,Da nhạy cảm,Cần xác nhận trước khi thay đổi lịch,2026-06-25 10:00:00,2026-09-02 15:00:00
138,0910003782,Da nhạy cảm,Đã từng phản hồi da nhạy cảm,2026-01-25 15:00:00,2026-08-28 15:00:00
139,0910003783,Không sử dụng tinh dầu mùi mạnh,Đã từng phản hồi da nhạy cảm,2026-07-06 09:00:00,2026-08-31 15:00:00
140,0910003784,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-04-11 09:00:00,2026-08-19 15:00:00
141,0910003785,\N,\N,2026-02-19 15:00:00,2026-08-18 15:00:00
142,0910003786,Massage lực vừa,\N,2026-03-10 13:00:00,2026-08-22 15:00:00
143,0910003787,Ưu tiên phòng yên tĩnh,\N,2026-03-10 11:00:00,2026-08-27 15:00:00
144,0910003788,Thường đặt lịch cuối tuần,\N,2026-06-04 14:00:00,2026-09-12 15:00:00
145,0910003789,\N,\N,2026-07-08 09:00:00,2026-08-17 15:00:00
146,0910003790,Massage lực nhẹ,\N,2026-06-13 09:00:00,2026-09-03 15:00:00
147,0910003791,Da nhạy cảm,Khách hàng thân thiết,2026-07-08 17:00:00,2026-09-12 15:00:00
148,0910003792,Massage lực nhẹ,Cần xác nhận trước khi thay đổi lịch,2026-03-13 17:00:00,2026-08-20 15:00:00
149,0910003793,Không sử dụng tinh dầu mùi mạnh,Khách hàng thân thiết,2026-02-25 15:00:00,2026-09-12 15:00:00
150,0910003794,Ưu tiên phòng yên tĩnh,Cần xác nhận trước khi thay đổi lịch,2026-02-04 09:00:00,2026-09-06 15:00:00
151,0910003795,Ưu tiên phòng yên tĩnh,Đã từng phản hồi da nhạy cảm,2026-02-21 12:00:00,2026-08-25 15:00:00
152,0910003796,Ưu tiên chuyên viên nữ,Cần xác nhận trước khi thay đổi lịch,2026-04-08 16:00:00,2026-09-07 15:00:00
153,0910003797,Ưu tiên phòng yên tĩnh,\N,2026-02-17 10:00:00,2026-08-25 15:00:00
154,0910003798,Thường đặt lịch cuối tuần,\N,2026-02-20 10:00:00,2026-08-28 15:00:00
155,0910003799,Không sử dụng tinh dầu mùi mạnh,Đã từng phản hồi da nhạy cảm,2026-01-18 11:00:00,2026-09-08 15:00:00
156,0910003800,Massage lực vừa,Khách hàng thân thiết,2026-05-08 14:00:00,2026-09-15 15:00:00
157,0910003801,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-07-17 16:00:00,2026-08-19 15:00:00
158,0910003802,Da nhạy cảm,Cần xác nhận trước khi thay đổi lịch,2026-04-07 16:00:00,2026-09-11 15:00:00
159,0910003803,Ưu tiên phòng yên tĩnh,Đã từng phản hồi da nhạy cảm,2026-04-30 12:00:00,2026-09-08 15:00:00
160,0910003804,\N,\N,2026-01-23 12:00:00,2026-08-31 15:00:00
161,0910003805,Không sử dụng tinh dầu mùi mạnh,\N,2026-06-02 17:00:00,2026-08-21 15:00:00
162,0910003806,\N,Cần xác nhận trước khi thay đổi lịch,2026-04-11 10:00:00,2026-08-20 15:00:00
163,0910003807,Massage lực vừa,Khách hàng thân thiết,2026-01-10 13:00:00,2026-08-26 15:00:00
164,0910003808,\N,Cần xác nhận trước khi thay đổi lịch,2026-04-03 11:00:00,2026-09-09 15:00:00
165,0910003809,\N,\N,2026-02-21 16:00:00,2026-09-02 15:00:00
166,0910003810,Thường đặt lịch cuối tuần,Khách hàng thân thiết,2026-02-28 09:00:00,2026-09-13 15:00:00
167,0910003811,\N,Đã từng phản hồi da nhạy cảm,2026-04-09 12:00:00,2026-09-11 15:00:00
168,0910003812,Ưu tiên chuyên viên nữ,Đã từng phản hồi da nhạy cảm,2026-02-22 12:00:00,2026-09-09 15:00:00
169,0910003813,Ưu tiên chuyên viên nữ,\N,2026-04-20 11:00:00,2026-09-04 15:00:00
170,0910003814,Ưu tiên phòng yên tĩnh,Đã từng phản hồi da nhạy cảm,2026-02-08 11:00:00,2026-08-23 15:00:00
171,0910003815,Không sử dụng tinh dầu mùi mạnh,\N,2026-06-02 14:00:00,2026-09-10 15:00:00
172,0910003816,Massage lực vừa,\N,2026-04-01 14:00:00,2026-09-08 15:00:00
173,0910003817,Thường đặt lịch cuối tuần,Cần xác nhận trước khi thay đổi lịch,2026-03-25 16:00:00,2026-09-14 15:00:00
